time,speaker,phase,content
19:00:25,Experimenter,introduction,"Hello! Um, so…"
19:00:28,Experimenter,introduction,"We're supposed to have one more participant here with us, so I'm gonna go ahead and wait till 7.05."
19:00:32,Experimenter,introduction,"If that participant does not show up,"
19:00:35,Experimenter,introduction,then I'm going to have to reschedule this experiment.
19:00:38,Experimenter,introduction,"Uh, or this session?"
19:00:41,Experimenter,introduction,"Uh, and so…"
19:00:43,Experimenter,introduction,"By 7.05, we'll find out if we were…"
19:00:45,Experimenter,introduction,Going to have our experiment this evening.
19:00:48,G3P1,introduction,"Okay, that works."
19:04:00,Experimenter,introduction,"Okay, uh, we're gonna go ahead and get started here."
19:04:05,Experimenter,introduction,So… hello everyone.
19:04:07,Experimenter,introduction,"Um, please ensure that your microphone and camera are turned on, if they aren't already."
19:04:12,Experimenter,introduction,"Um, I have renamed you to an anonymous ID to protect your privacy during this study."
19:04:18,Experimenter,introduction,And so I'll give you a little bit to turn on your cameras and microphones.
19:04:29,Experimenter,introduction,"Perfect, alright. So, hello again. Uh, thank you for joining me today. Uh, I would like to welcome you to this experiment on collaborative creativity."
19:04:39,G3P1,introduction,Thank you.
19:04:44,Experimenter,introduction,"So, to start us off, I have just sent a link in the chat."
19:04:48,Experimenter,introduction,This is the informed consent and demographic form.
19:04:50,Experimenter,introduction,"Please click the link, read the information carefully, and complete the form. Once you have submitted the form, please type the word DONE in the chat so I know you are ready to proceed."
19:04:59,Experimenter,introduction,"Your participant ID is the one I assigned to you in the Zoom session. For example,"
19:05:03,Experimenter,introduction,G3P1.
19:06:57,Experimenter,introduction,"Okay, it looks like everyone has completed the informed consent and Demographic form."
19:07:09,Experimenter,introduction,So I've just sent another link in the chat.
19:07:11,Experimenter,introduction,This is the pre-task questionnaire.
19:07:13,Experimenter,introduction,"Please click the link, read the information carefully, and complete the form."
19:07:16,Experimenter,introduction,"Once you've submitted the form, please type the word DONE in the chat so I know you are ready to proceed."
19:09:17,Experimenter,introduction,"Okay, so it looks like everyone has completed the pre-test questionnaire."
19:09:21,Experimenter,introduction,"Um, thank you. We are now going to move into the first portion of the experiment. In this session, you will work"
19:09:26,Experimenter,introduction,You will be working together as a group to generate ideas.
19:09:30,Experimenter,introduction,I'm going to go ahead and share my screen.
19:09:37,Experimenter,introduction,"Okay, and can you please both confirm that you can see what I've shared? It should be titled Appendix I."
19:09:43,Experimenter,introduction,And Osborne's Rules for Brainstorming.
19:09:46,G3P1,introduction,Yeah.
19:09:47,G3P2,introduction,Yes.
19:09:47,Experimenter,introduction,"Yes. Okay, perfect."
19:09:50,Experimenter,introduction,"Um, to help us get the most out of the session,"
19:09:52,Experimenter,introduction,We will follow Osborn's rules for brainstorming.
19:09:55,Experimenter,introduction,Please follow along as I read them.
19:09:58,Experimenter,introduction,1. Quantity is wanted. Produce as many ideas as possible.
19:10:02,Experimenter,introduction,"2. Freewheeling is encouraged, the wilder the idea, the better."
19:10:06,Experimenter,introduction,Each idea can lead to another idea that may be better.
19:10:09,Experimenter,introduction,generate as many ideas as possible to produce better ideas.
19:10:14,Experimenter,introduction,3. Criticism is not allowed.
19:10:15,Experimenter,introduction,Critical opinions of ideas will not be allowed.
19:10:18,Experimenter,introduction,Every idea is welcomed.
19:10:20,Experimenter,introduction,4. Combine and improve ideas.
19:10:22,Experimenter,introduction,a combination of ideas can produce better ideas. Be willing to improve ideas by combining two or more ideas.
19:10:29,Experimenter,introduction,5. Stay focused on the task.
19:10:31,Experimenter,introduction,"Concentrate on the problem at hand, and avoid engaging in irrelevant thought processes and discussions."
19:10:36,Experimenter,introduction,"In addition to that, do not tell stories."
19:10:39,Experimenter,introduction,I am only interested in your ideas.
19:10:42,Experimenter,introduction,Do not tell stories about your experiences.
19:10:44,Experimenter,introduction,"Also, do not explain ideas."
19:10:46,Experimenter,introduction,"Referring from expanding on why you think something is good or bad. Simply state your idea, and continue with the next idea."
19:10:53,Experimenter,introduction,Do you have any questions about the rules before we begin?
19:10:57,G3P1,introduction,No.
19:10:58,G3P2,introduction,No.
19:11:00,Experimenter,introduction,Perfect. Alright.
19:11:03,Experimenter,introduction,"So, the problem you'll be… the problem you will be working on today is called the university problem."
19:11:09,Experimenter,introduction,We would like you to generate ideas or ways to improve your university.
19:11:12,Experimenter,introduction,Any suggestions you have about how to make the university better are appropriate.
19:11:17,Experimenter,introduction,You have 10 minutes to verbally brainstorm on this.
19:11:19,Experimenter,introduction,"Even if you are done before 10 minutes, keep trying to generate ideas."
19:11:23,Experimenter,introduction,I will return when 10 minutes are up.
19:11:26,Experimenter,ideaGenerationOne,And… your time starts now.
19:11:38,G3P1,ideaGenerationOne,"Um,"
19:11:39,G3P2,ideaGenerationOne,More… more parking.
19:11:40,G3P1,ideaGenerationOne,I was about to say that.
19:11:42,G3P1,ideaGenerationOne,More parking.
19:11:43,G3P2,ideaGenerationOne,"Or parking, um…"
19:11:46,G3P2,ideaGenerationOne,Let's see… more housing…
19:11:48,G3P1,ideaGenerationOne,more housing. Yes.
19:11:49,G3P2,ideaGenerationOne,less people…
19:11:53,G3P1,ideaGenerationOne,Um…
19:12:00,G3P2,ideaGenerationOne,Better food.
19:12:03,G3P1,ideaGenerationOne,Yep.
19:12:09,G3P2,ideaGenerationOne,more options for food? Sorry.
